AH00558: apache2: Could not reliably determine the server's fully qualified domain name, using 172.26.0.4. Set the 'ServerName' directive globally to suppress this message
[Sun Jan 21 22:07:02.431082 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431088 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_options() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431095 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   6. Blocksy\\DemoInstallOptionsInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:72, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431101 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   7. Blocksy\\DemoInstallOptionsInstaller->import_options() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:85, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431107 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   8. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:108, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:02.431113 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   9. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:351, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154074 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Notice:  Undefined property: WP_Error::$attachment_id in /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php on line 385, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154127 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154144 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154152 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154159 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154165 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154171 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_options() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154177 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   6. Blocksy\\DemoInstallOptionsInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:72, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154183 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   7. Blocksy\\DemoInstallOptionsInstaller->import_options() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:85, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154195 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   8. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:108, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:04.154201 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   9. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:351, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010078 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Notice:  Undefined property: WP_Error::$attachment_id in /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php on line 415, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010121 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010135 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010141 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010146 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010151 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010157 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_options() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010162 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   6. Blocksy\\DemoInstallOptionsInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:72, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010167 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   7. Blocksy\\DemoInstallOptionsInstaller->import_options() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:85, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:06.010173 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   8. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:108, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649032 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Notice:  Undefined property: WP_Error::$attachment_id in /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php on line 397, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649080 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649097 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649110 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649116 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649123 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649128 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_options() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649134 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   6. Blocksy\\DemoInstallOptionsInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:72, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649139 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   7. Blocksy\\DemoInstallOptionsInstaller->import_options() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:85, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:07.649144 2024] [php7:notice] [pid 85] [client 172.26.0.1:53540] PHP   8. Blocksy\\DemoInstallOptionsInstaller->import_images() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/options-import.php:108, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406848 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Warning:  unlink(/var/www/html/wp-content/uploads/elementor/css/custom-frontend-lite.min.css): Permission denied in /var/www/html/wp-content/plugins/elementor/core/files/manager.php on line 111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406897 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406910 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406918 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406925 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406930 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406934 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_content() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406940 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   6. Blocksy\\DemoInstallContentInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:77, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406945 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   7. Blocksy\\DemoInstallContentInstaller->clean_plugins_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:292, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406958 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   8. Elementor\\Core\\Files\\Manager->clear_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:336, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406964 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   9. unlink() /var/www/html/wp-content/plugins/elementor/core/files/manager.php:111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.406997 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Warning:  unlink(/var/www/html/wp-content/uploads/elementor/css/custom-frontend.min.css): Permission denied in /var/www/html/wp-content/plugins/elementor/core/files/manager.php on line 111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407002 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407006 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407011 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407016 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407020 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407025 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_content() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407030 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   6. Blocksy\\DemoInstallContentInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:77, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407035 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   7. Blocksy\\DemoInstallContentInstaller->clean_plugins_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:292, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407039 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   8. Elementor\\Core\\Files\\Manager->clear_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:336, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407044 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   9. unlink() /var/www/html/wp-content/plugins/elementor/core/files/manager.php:111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407068 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Warning:  unlink(/var/www/html/wp-content/uploads/elementor/css/custom-widget-image-box.min.css): Permission denied in /var/www/html/wp-content/plugins/elementor/core/files/manager.php on line 111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407072 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407083 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407088 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407093 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407097 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407103 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_content() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407108 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   6. Blocksy\\DemoInstallContentInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:77, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407113 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   7. Blocksy\\DemoInstallContentInstaller->clean_plugins_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:292, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407119 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   8. Elementor\\Core\\Files\\Manager->clear_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:336, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407123 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   9. unlink() /var/www/html/wp-content/plugins/elementor/core/files/manager.php:111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407147 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Warning:  unlink(/var/www/html/wp-content/uploads/elementor/css/post-364.css): Permission denied in /var/www/html/wp-content/plugins/elementor/core/files/manager.php on line 111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407151 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407156 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407160 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407165 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407169 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407174 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   5. Blocksy\\DemoInstall->blocksy_demo_install_content() /var/www/html/wp-includes/class-wp-hook.php:308, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407179 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   6. Blocksy\\DemoInstallContentInstaller->import() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install.php:77, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407187 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   7. Blocksy\\DemoInstallContentInstaller->clean_plugins_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:292, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407192 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   8. Elementor\\Core\\Files\\Manager->clear_cache() /var/www/html/wp-content/plugins/blocksy-companion/framework/features/demo-install/content-installer.php:336, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407197 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   9. unlink() /var/www/html/wp-content/plugins/elementor/core/files/manager.php:111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407220 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Warning:  unlink(/var/www/html/wp-content/uploads/elementor/css/post-528.css): Permission denied in /var/www/html/wp-content/plugins/elementor/core/files/manager.php on line 111, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407225 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP Stack trace:, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407229 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   1. {main}() /var/www/html/wp-admin/admin-ajax.php:0, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407233 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   2. do_action() /var/www/html/wp-admin/admin-ajax.php:188, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407238 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   3. WP_Hook->do_action() /var/www/html/wp-includes/plugin.php:517, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
[Sun Jan 21 22:07:20.407242 2024] [php7:notice] [pid 70] [client 172.26.0.1:38052] PHP   4. WP_Hook->apply_filters() /var/www/html/wp-includes/class-wp-hook.php:332, referer: http://localhost:8082/wp-admin/admin.php?page=ct-dashboard
